Tên nhóm,Câu 1,Câu 2,Câu 3,Số lần submit,Số câu đúng,Tổng điểm
N01,O(4^n),O(2^n),O(3^n),1,3,1
N02,O(4^n),O(2^n),O(3^n),1,3,1
N03,O(4^n),O(2^n),O(3^n),1,3,1
N04,O(4^n),O(2^n),O(3^n),1,3,1
N05,O(4^n),O(2^n),O(3^n),1,3,1
N07,O(4^n),O(2^n),O(3^n),1,3,1
N08,O(4^n),O(2^n),O(3^n),1,3,1
N09,O(4^n),O(2^n),O(3^n),3,3,1
N10,O(4^n),O(2^n),O(3^n),4,3,1
N11,O(4^n),O(2^n),O(3^n),1,3,1
N12,O(4^n),O(2^n),O(3^n),2,3,1
N13,O(4^n),O(2^n),O(3^n),1,3,1
N14,O(4^n),O(2^n),O(3^n),2,3,1
N15,O(4^n),O(2^n),O(3^n),1,3,1
N16,O(4^n),O(2^n),O(3^n),1,3,1
N17,O(4^n),O(2^n),O(3^n),1,3,1
N18,O(4^n),O(2^n),O(3^n),1,3,1
